"delta","year","area","x","effort","vessel","year_scaled"
1.49356385163917,"2011","B",0.0199296921491623,-0.0663142144680023,"9",-1
0,"2012","B",0.816591213922948,0.258531499281526,"11",0
8.47090950863853,"2013","B",0.913772572297603,0.245631492882967,"8",1
5.46994322367141,"2011","A",0.979040442034602,-0.254439032450318,"2",-1
0,"2012","A",0.24040247593075,-0.0170467486605048,"1",0
1.02489060482016,"2013","A",-0.319098230451345,-0.333133905567229,"8",1
7.42588242802189,"2011","B",-0.130839658435434,-0.338495702296495,"3",-1
2.58694565625741,"2012","B",-0.291439772117883,-0.06365308444947,"2",0
5.50983968115829,"2013","B",-0.819133713375777,0.37397746257484,"3",1
7.22844951486193,"2011","A",-0.410535754170269,0.0864993838593364,"4",-1
7.28096328582077,"2012","A",0.273224551230669,0.216984544880688,"1",0
0,"2013","A",0.694848607759923,0.0198179692029953,"5",1
2.7805733561363,"2011","B",0.893818519078195,0.118644797429442,"12",-1
0,"2012","B",-0.884479558560997,0.209729311801493,"1",0
0,"2013","B",0.728665441274643,0.188111847639084,"9",1
0,"2011","A",-0.294038788881153,-0.0725474348291755,"6",-1
0,"2012","A",-0.944258004426956,-0.214605708792806,"1",0
2.97473727318629,"2013","A",-0.187509660143405,-0.237251332774758,"10",1
3.51967537841366,"2011","B",-0.921676801517606,-0.149774924479425,"4",-1
3.44017791405518,"2012","B",0.529885838739574,-0.219798868708313,"5",0
2.36191533444515,"2013","B",0.888556607998908,-0.032226955704391,"9",1
0,"2011","A",0.280979549046606,0.281083110719919,"3",-1
2.61248541296685,"2012","A",0.944769149180502,0.0219012632966042,"9",0
3.73442852104227,"2013","A",0.0144786867313087,0.0622048757970333,"8",1
0.703960212547011,"2011","B",0.0196495531126857,-0.326007012091577,"9",-1
0.826249405671253,"2012","B",-0.287638755980879,-0.00859095267951489,"11",0
2.4451143511616,"2013","B",-0.937716513406485,0.0750013178214431,"1",1
7.88303727556561,"2011","A",-0.277069353498518,0.269651374779642,"4",-1
7.37719594056902,"2012","A",0.112287689000368,-0.306085009127855,"7",0
0.849392990124593,"2013","A",-0.218150115106255,0.18662127032876,"8",1
0,"2011","B",-0.129391497932374,-0.184064768441021,"2",-1
1.65558897233293,"2012","B",-0.363753219600767,0.196180324070156,"8",0
0.3508374035816,"2013","B",0.365906646009535,-0.387665569968522,"3",1
4.18209578592424,"2011","A",-0.514451133087277,0.116080912388861,"10",-1
0,"2012","A",0.185854290146381,-0.271183581650257,"10",0
8.21182369820528,"2013","A",0.556031090673059,0.0706794260069728,"4",1
3.06957570121996,"2011","B",-0.262520348653197,0.0914088910445571,"6",-1
1.7273107642862,"2012","B",-0.124709737021476,-0.373306444659829,"10",0
2.70307319424015,"2013","B",-0.124266304541379,-0.26638647634536,"8",1
0,"2011","A",0.821226208936423,-0.135434523224831,"9",-1
12.8005374783225,"2012","A",0.891232199966908,0.201780435815454,"7",0
3.44122861836411,"2013","A",-0.136981884017587,-0.269295081496239,"4",1
0.872712882803496,"2011","B",-0.480093060061336,-0.230222187936306,"1",-1
0,"2012","B",-0.916256150230765,0.0696120457723737,"8",0
3.83324370193666,"2013","B",-0.0402017002925277,-0.110819046571851,"8",1
0,"2011","A",0.96883672196418,-0.303291563503444,"9",-1
0.732157912116565,"2012","A",-0.994592700153589,0.337585816718638,"1",0
5.67359873953997,"2013","A",-0.64225111156702,-0.0263651648536325,"2",1
0,"2011","B",0.0385335730388761,0.383316334523261,"7",-1
1.55773140616254,"2012","B",-0.511313986964524,-0.177605911530554,"2",0
36.4484845961287,"2013","B",0.0117446747608483,-0.123997368104756,"7",1
0,"2011","A",0.754798705223948,-0.378966002166271,"10",-1
1.24661127596841,"2012","A",-0.411456555128098,-0.307101781666279,"9",0
7.06572254897619,"2013","A",0.276187106501311,-0.0566206458956003,"4",1
4.88909291630613,"2011","B",-0.0850393739528954,-0.200489300116897,"7",-1
6.23214838294882,"2012","B",-0.430022332817316,-0.199357915297151,"4",0
7.61962227644837,"2013","B",-0.876724260859191,0.284285062178969,"4",1
0,"2011","A",-0.139359967783093,0.257930774055421,"2",-1
2.65717240251744,"2012","A",0.0455666864290833,0.072841751947999,"2",0
4.59799351553828,"2013","A",-0.569214511662722,-0.12873382344842,"10",1
4.57148780387038,"2011","B",-0.0235884613357484,0.29995043091476,"3",-1
11.7733393493957,"2012","B",-0.209617436863482,-0.0854439133778215,"4",0
4.60911967437235,"2013","B",-0.275226733647287,0.185222493857145,"8",1
0,"2011","A",0.455099159386009,0.178283052891493,"12",-1
0,"2012","A",0.42358946474269,0.217408821545541,"6",0
4.225133433078,"2013","A",0.09601309010759,-0.353297841921449,"7",1
0,"2011","B",0.735830467194319,-0.290614078566432,"9",-1
9.28243736475231,"2012","B",0.45977900037542,0.222723381780088,"4",0
0,"2013","B",0.525440836790949,0.225815396383405,"12",1
4.33503416773842,"2011","A",0.0449987966567278,0.245528702065349,"2",-1
2.89628214178165,"2012","A",-0.797596992459148,0.328685221076012,"5",0
0.81188429145062,"2013","A",-0.293722620233893,-0.387351020425558,"10",1
0,"2011","B",0.650598539039493,-0.330371931008995,"1",-1
0,"2012","B",0.288412587251514,-0.0427508644759655,"10",0
1.45497114149239,"2013","B",-0.389079356566072,0.0536095330491662,"1",1
2.5363706800476,"2011","A",0.881775448098779,-0.135289416275918,"6",-1
2.437380788261,"2012","A",0.825596444308758,0.00317473616451025,"2",0
0,"2013","A",-0.484508113004267,0.072328158095479,"1",1
0,"2011","B",-0.70603362377733,0.101587216556072,"11",-1
1.28255196333186,"2012","B",0.685017029754817,-0.390132772736251,"10",0
4.45012905877562,"2013","B",0.950318099465221,0.261640675738454,"12",1
1.34021694529245,"2011","A",-0.490168227814138,-0.0716395879164338,"6",-1
2.65605568676306,"2012","A",0.403914649039507,0.139640317671001,"9",0
0,"2013","A",-0.813147144857794,0.291500714980066,"1",1
0,"2011","B",0.552956880070269,0.186794615536928,"11",-1
6.66498526424503,"2012","B",-0.789506081491709,-0.0674808345735073,"6",0
6.76396752158993,"2013","B",0.116861615795642,-0.281745075248182,"4",1
3.43744389508224,"2011","A",0.311765257269144,-0.0922990972176194,"12",-1
8.02409348899223,"2012","A",0.302131668664515,-0.113794002495706,"4",0
0,"2013","A",0.319250757806003,0.254535132274032,"6",1
0,"2011","B",-0.772199222818017,-0.111003747582436,"11",-1
5.51183356955665,"2012","B",-0.453332357108593,0.156583846919239,"8",0
0,"2013","B",0.318939931225032,0.0652511021122336,"11",1
0,"2011","A",-0.559491945896298,0.0292942140251398,"6",-1
0,"2012","A",0.505984771996737,0.0108321454375982,"6",0
2.84196126903143,"2013","A",-0.92663048626855,0.205577143281698,"5",1
0,"2011","B",-0.268433410674334,0.341770923882723,"3",-1
8.59068687977074,"2012","B",0.0779932928271592,0.205553847551346,"12",0
15.5263866641009,"2013","B",0.31397587666288,-0.0885800898075104,"11",1
0,"2011","A",-0.0757278352975845,0.0317893652245402,"2",-1
6.58561375006828,"2012","A",-0.908236146438867,0.0248129511252046,"6",0
1.45265096704764,"2013","A",-0.128152165561914,-0.25840420126915,"12",1
8.645826054965,"2011","B",0.0801627491600811,0.336988134495914,"4",-1
3.68390641446579,"2012","B",-0.570174426306039,0.156534155085683,"5",0
14.324218753227,"2013","B",-0.171269507613033,0.23794320076704,"7",1
4.47792817988338,"2011","A",0.846648640930653,-0.000228786654770374,"11",-1
7.49940864476812,"2012","A",0.571618938352913,0.328709931671619,"2",0
0,"2013","A",-0.712368824984878,-0.00935146678239107,"1",1
1.62019030550071,"2011","B",0.486576397437602,0.0493326993659139,"9",-1
0,"2012","B",-0.602004485204816,-0.0344134097918868,"9",0
13.7724150954945,"2013","B",0.729473380371928,-0.0664568852633238,"7",1
0,"2011","A",-0.209521759301424,-0.175304727815092,"12",-1
0,"2012","A",0.609565466176718,-0.0164327558130026,"8",0
1.85368606052138,"2013","A",-0.868164490908384,0.313227245770395,"2",1
2.77213619493273,"2011","B",-0.663226457312703,-0.336458602175117,"7",-1
1.88150813142257,"2012","B",-0.0752396094612777,-0.328496564179659,"1",0
0.48950821674054,"2013","B",0.229627951979637,-0.346336153708398,"10",1
4.79984462045338,"2011","A",0.599611112847924,-0.097886436060071,"11",-1
1.32343298307433,"2012","A",0.270773742813617,-0.235515589639544,"9",0
0,"2013","A",-0.337970002088696,-0.227994582056999,"1",1
2.72496623438373,"2011","B",-0.398182050790638,-0.25460819285363,"8",-1
8.49463150361083,"2012","B",0.247914897277951,0.0228454811498523,"4",0
0,"2013","B",-0.619194163009524,0.286784025467932,"4",1
3.6991670165993,"2011","A",-0.301971501670778,-0.243432049825788,"7",-1
2.45926972072187,"2012","A",0.0313198217190802,-0.109069786779583,"12",0
9.05354170747517,"2013","A",0.384953142143786,-0.10323494207114,"5",1
1.15294635908775,"2011","B",0.382678154390305,0.395500405319035,"3",-1
14.8164672984219,"2012","B",-0.451360392384231,-0.0452931953594089,"7",0
2.26313317236619,"2013","B",-0.668504243716598,0.393381998315454,"3",1
0,"2011","A",-0.870759733952582,0.375855819322169,"12",-1
1.05784737986323,"2012","A",-0.41073183901608,0.220401227660477,"5",0
3.64239260304018,"2013","A",-0.691809273324907,-0.398990367725492,"7",1
0,"2011","B",0.349111459217966,0.398333254642785,"1",-1
12.7830750314338,"2012","B",0.889652943238616,0.262301741912961,"4",0
30.9898802904115,"2013","B",0.641386778559536,0.169368110224605,"7",1
4.72667887527268,"2011","A",0.304096046835184,0.0707525612786412,"5",-1
0,"2012","A",-0.693402032833546,0.000267701037228107,"2",0
8.73337961617134,"2013","A",-0.117877819109708,-0.0441643847152591,"2",1
0,"2011","B",-0.961260779295117,-0.00628526154905558,"9",-1
7.01543407959602,"2012","B",-0.204328178428113,-0.197203484922647,"4",0
4.88799362327444,"2013","B",0.0433236719109118,0.385927836969495,"2",1
1.2268417545809,"2011","A",0.565945517271757,0.0654263263568282,"2",-1
0,"2012","A",0.72222070582211,-0.311351642385125,"5",0
5.97393160848925,"2013","A",-0.317826779093593,-0.352340314909816,"6",1
0,"2011","B",0.00598530983552337,0.135984227061272,"5",-1
0,"2012","B",0.735459159594029,0.174438315816224,"3",0
16.2049079504929,"2013","B",0.538629788439721,0.153164442256093,"7",1
9.10441208179384,"2011","A",0.960402935743332,0.0322094852104783,"4",-1
0,"2012","A",-0.931219995953143,0.152714222669601,"1",0
4.43331709269898,"2013","A",0.0784377679228783,-0.0621846897527576,"3",1
0,"2011","B",0.392569707706571,0.0277514208108187,"10",-1
0,"2012","B",0.16032771486789,-0.245506888441741,"7",0
5.40993636039438,"2013","B",0.391375594772398,0.00423387531191111,"3",1
0.603678566009918,"2011","A",-0.372457950841635,-0.37000140491873,"8",-1
0.686803287690266,"2012","A",-0.565577330533415,-0.288849722780287,"3",0
1.16582234024349,"2013","A",-0.422261854633689,-0.129371502995491,"12",1
0,"2011","B",-0.580693710595369,0.161557865142822,"11",-1
2.33788957382189,"2012","B",0.0529389097355306,0.380393888242543,"12",0
1.72311134369268,"2013","B",-0.183845434337854,0.157560191117227,"9",1
1.10319027734898,"2011","A",-0.622172182425857,-0.118694790452719,"12",-1
3.93835686336941,"2012","A",0.838531208690256,0.063695415109396,"12",0
3.09991024226179,"2013","A",0.622924250084907,-0.00230893567204475,"8",1
0,"2011","B",-0.84267452172935,-0.298459168709815,"2",-1
1.52367400319027,"2012","B",-0.514481654856354,-0.20306981857866,"8",0
10.3012150939056,"2013","B",0.451154104433954,-0.181323324143887,"2",1
0,"2011","A",-0.253215565811843,0.0511363638564944,"10",-1
0,"2012","A",-0.765051476657391,-0.198570929467678,"2",0
7.75823386785562,"2013","A",-0.411500854883343,-0.355211934819818,"7",1
1.1926764141388,"2011","B",-0.778384171891958,-0.211935757100582,"3",-1
8.85002577430003,"2012","B",-0.0469793039374053,0.297646490111947,"7",0
3.81604023947735,"2013","B",-0.709897997323424,-0.310358457639813,"11",1
0,"2011","A",-0.221155754756182,0.204189022816718,"10",-1
8.91457179064422,"2012","A",0.299569920171052,0.0738378193229437,"5",0
16.914342523864,"2013","A",0.462885610759258,-0.0323559306561947,"7",1
0,"2011","B",-0.931856381241232,0.104156662337482,"5",-1
1.32241612974743,"2012","B",0.0886797634884715,-0.39327525999397,"10",0
18.4250495178359,"2013","B",0.647253612522036,0.344599716179073,"5",1
